 frequency  vod_mag   
 1.000e+00  4.037e+00 
 1.122e+00  4.037e+00 
 1.259e+00  4.037e+00 
 1.413e+00  4.037e+00 
 1.585e+00  4.037e+00 
 1.778e+00  4.037e+00 
 1.995e+00  4.037e+00 
 2.239e+00  4.037e+00 
 2.512e+00  4.037e+00 
 2.818e+00  4.037e+00 
 3.162e+00  4.037e+00 
 3.548e+00  4.037e+00 
 3.981e+00  4.037e+00 
 4.467e+00  4.037e+00 
 5.012e+00  4.037e+00 
 5.623e+00  4.037e+00 
 6.310e+00  4.037e+00 
 7.079e+00  4.037e+00 
 7.943e+00  4.037e+00 
 8.913e+00  4.037e+00 
 1.000e+01  4.037e+00 
 1.122e+01  4.037e+00 
 1.259e+01  4.037e+00 
 1.413e+01  4.037e+00 
 1.585e+01  4.037e+00 
 1.778e+01  4.037e+00 
 1.995e+01  4.037e+00 
 2.239e+01  4.037e+00 
 2.512e+01  4.037e+00 
 2.818e+01  4.037e+00 
 3.162e+01  4.037e+00 
 3.548e+01  4.037e+00 
 3.981e+01  4.037e+00 
 4.467e+01  4.037e+00 
 5.012e+01  4.037e+00 
 5.623e+01  4.037e+00 
 6.310e+01  4.037e+00 
 7.079e+01  4.037e+00 
 7.943e+01  4.037e+00 
 8.913e+01  4.037e+00 
 1.000e+02  4.037e+00 
 1.122e+02  4.037e+00 
 1.259e+02  4.037e+00 
 1.413e+02  4.037e+00 
 1.585e+02  4.037e+00 
 1.778e+02  4.037e+00 
 1.995e+02  4.037e+00 
 2.239e+02  4.037e+00 
 2.512e+02  4.037e+00 
 2.818e+02  4.037e+00 
 3.162e+02  4.037e+00 
 3.548e+02  4.037e+00 
 3.981e+02  4.037e+00 
 4.467e+02  4.037e+00 
 5.012e+02  4.037e+00 
 5.623e+02  4.037e+00 
 6.310e+02  4.037e+00 
 7.079e+02  4.037e+00 
 7.943e+02  4.037e+00 
 8.913e+02  4.037e+00 
 1.000e+03  4.037e+00 
 1.122e+03  4.037e+00 
 1.259e+03  4.037e+00 
 1.413e+03  4.037e+00 
 1.585e+03  4.037e+00 
 1.778e+03  4.037e+00 
 1.995e+03  4.037e+00 
 2.239e+03  4.037e+00 
 2.512e+03  4.037e+00 
 2.818e+03  4.037e+00 
 3.162e+03  4.037e+00 
 3.548e+03  4.037e+00 
 3.981e+03  4.037e+00 
 4.467e+03  4.037e+00 
 5.012e+03  4.037e+00 
 5.623e+03  4.037e+00 
 6.310e+03  4.037e+00 
 7.079e+03  4.037e+00 
 7.943e+03  4.037e+00 
 8.913e+03  4.037e+00 
 1.000e+04  4.037e+00 
 1.122e+04  4.037e+00 
 1.259e+04  4.037e+00 
 1.413e+04  4.037e+00 
 1.585e+04  4.037e+00 
 1.778e+04  4.037e+00 
 1.995e+04  4.037e+00 
 2.239e+04  4.037e+00 
 2.512e+04  4.037e+00 
 2.818e+04  4.037e+00 
 3.162e+04  4.037e+00 
 3.548e+04  4.037e+00 
 3.981e+04  4.037e+00 
 4.467e+04  4.037e+00 
 5.012e+04  4.037e+00 
 5.623e+04  4.037e+00 
 6.310e+04  4.037e+00 
 7.079e+04  4.037e+00 
 7.943e+04  4.037e+00 
 8.913e+04  4.037e+00 
 1.000e+05  4.037e+00 
 1.122e+05  4.037e+00 
 1.259e+05  4.037e+00 
 1.413e+05  4.037e+00 
 1.585e+05  4.037e+00 
 1.778e+05  4.037e+00 
 1.995e+05  4.037e+00 
 2.239e+05  4.037e+00 
 2.512e+05  4.036e+00 
 2.818e+05  4.036e+00 
 3.162e+05  4.036e+00 
 3.548e+05  4.036e+00 
 3.981e+05  4.036e+00 
 4.467e+05  4.036e+00 
 5.012e+05  4.036e+00 
 5.623e+05  4.036e+00 
 6.310e+05  4.036e+00 
 7.079e+05  4.036e+00 
 7.943e+05  4.036e+00 
 8.913e+05  4.036e+00 
 1.000e+06  4.036e+00 
 1.122e+06  4.036e+00 
 1.259e+06  4.036e+00 
 1.413e+06  4.036e+00 
 1.585e+06  4.036e+00 
 1.778e+06  4.036e+00 
 1.995e+06  4.035e+00 
 2.239e+06  4.035e+00 
 2.512e+06  4.035e+00 
 2.818e+06  4.034e+00 
 3.162e+06  4.034e+00 
 3.548e+06  4.033e+00 
 3.981e+06  4.032e+00 
 4.467e+06  4.031e+00 
 5.012e+06  4.029e+00 
 5.623e+06  4.028e+00 
 6.310e+06  4.025e+00 
 7.079e+06  4.022e+00 
 7.943e+06  4.019e+00 
 8.913e+06  4.014e+00 
 1.000e+07  4.008e+00 
 1.122e+07  4.001e+00 
 1.259e+07  3.992e+00 
 1.413e+07  3.981e+00 
 1.585e+07  3.967e+00 
 1.778e+07  3.949e+00 
 1.995e+07  3.927e+00 
 2.239e+07  3.901e+00 
 2.512e+07  3.868e+00 
 2.818e+07  3.827e+00 
 3.162e+07  3.778e+00 
 3.548e+07  3.719e+00 
 3.981e+07  3.648e+00 
 4.467e+07  3.564e+00 
 5.012e+07  3.467e+00 
 5.623e+07  3.355e+00 
 6.310e+07  3.228e+00 
 7.079e+07  3.087e+00 
 7.943e+07  2.933e+00 
 8.913e+07  2.769e+00 
 1.000e+08  2.596e+00 
 1.122e+08  2.419e+00 
 1.259e+08  2.240e+00 
 1.413e+08  2.062e+00 
 1.585e+08  1.889e+00 
 1.778e+08  1.722e+00 
 1.995e+08  1.563e+00 
 2.239e+08  1.414e+00 
 2.512e+08  1.276e+00 
 2.818e+08  1.148e+00 
 3.162e+08  1.030e+00 
 3.548e+08  9.226e-01 
 3.981e+08  8.249e-01 
 4.467e+08  7.363e-01 
 5.012e+08  6.562e-01 
 5.623e+08  5.838e-01 
 6.310e+08  5.186e-01 
 7.079e+08  4.598e-01 
 7.943e+08  4.069e-01 
 8.913e+08  3.592e-01 
 1.000e+09  3.162e-01 
 1.122e+09  2.775e-01 
 1.259e+09  2.427e-01 
 1.413e+09  2.114e-01 
 1.585e+09  1.833e-01 
 1.778e+09  1.581e-01 
 1.995e+09  1.356e-01 
 2.239e+09  1.155e-01 
 2.512e+09  9.786e-02 
 2.818e+09  8.236e-02 
 3.162e+09  6.887e-02 
 3.548e+09  5.724e-02 
 3.981e+09  4.731e-02 
 4.467e+09  3.890e-02 
 5.012e+09  3.185e-02 
 5.623e+09  2.597e-02 
 6.310e+09  2.112e-02 
 7.079e+09  1.714e-02 
 7.943e+09  1.389e-02 
 8.913e+09  1.125e-02 
 1.000e+10  9.111e-03 
